Technology_Domain,Patent_Title,Patent_Abstract,Inventors,Assignee,Filing_Date,Publication_Date,Patent_Number,Patent_Status,IPC_or_CPC_Classification,Country,Keywords,Source_URL
Robotics,Method and System for Robotics Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Robotics optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_23, Dr. Taylor Scientist_23",Institute of Technology & Robotics Research Group,2021-09-22,2022-05-28,US-70028377-B2,FILED,G06F 17/33 (IPC) | H04L 9/14 (CPC),US,"Robotics, automation, system, adaptive",https://www.lens.org/lens/patent/US-70028377-B2
Artificial Intelligence,Method and System for Artificial Intelligence Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Artificial Intelligence optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_200, Dr. Taylor Scientist_200",Institute of Technology & Artificial Intelligence Research Group,2021-07-03,2022-05-28,US-12977624-B2,GRANTED,G06F 17/41 (IPC) | H04L 9/30 (CPC),US,"Artificial Intelligence, automation, system, adaptive",https://www.lens.org/lens/patent/US-12977624-B2
Cloud Computing,Method and System for Cloud Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Cloud Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_24, Dr. Taylor Scientist_24",Institute of Technology & Cloud Computing Research Group,2021-09-01,2022-05-28,US-42284652-B2,FILED,G06F 17/85 (IPC) | H04L 9/32 (CPC),US,"Cloud Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-42284652-B2
Blockchain,Method and System for Blockchain Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Blockchain optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_69, Dr. Taylor Scientist_69",Institute of Technology & Blockchain Research Group,2021-10-05,2022-05-27,US-28776647-B2,GRANTED,G06F 17/54 (IPC) | H04L 9/16 (CPC),US,"Blockchain, automation, system, adaptive",https://www.lens.org/lens/patent/US-28776647-B2
Cloud Computing,Method and System for Cloud Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Cloud Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_34, Dr. Taylor Scientist_34",Institute of Technology & Cloud Computing Research Group,2021-09-20,2022-05-26,US-95433664-B2,FILED,G06F 17/61 (IPC) | H04L 9/48 (CPC),US,"Cloud Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-95433664-B2
Internet of Things,Method and System for Internet of Things Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Internet of Things optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_20, Dr. Taylor Scientist_20",Institute of Technology & Internet of Things Research Group,2021-04-24,2022-05-26,US-92707674-B2,GRANTED,G06F 17/87 (IPC) | H04L 9/88 (CPC),US,"Internet of Things, automation, system, adaptive",https://www.lens.org/lens/patent/US-92707674-B2
5G / 6G Communications,Method and System for 5G / 6G Communications Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing 5G / 6G Communications optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_5, Dr. Taylor Scientist_5",Institute of Technology & 5G / 6G Communications Research Group,2021-01-16,2022-05-26,US-19021796-B2,GRANTED,G06F 17/50 (IPC) | H04L 9/46 (CPC),US,"5G / 6G Communications, automation, system, adaptive",https://www.lens.org/lens/patent/US-19021796-B2
Internet of Things,Method and System for Internet of Things Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Internet of Things optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_192, Dr. Taylor Scientist_192",Institute of Technology & Internet of Things Research Group,2021-05-06,2022-05-26,US-91860963-B2,GRANTED,G06F 17/53 (IPC) | H04L 9/43 (CPC),US,"Internet of Things, automation, system, adaptive",https://www.lens.org/lens/patent/US-91860963-B2
Renewable Energy,Method and System for Renewable Energy Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Renewable Energy optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_197, Dr. Taylor Scientist_197",Institute of Technology & Renewable Energy Research Group,2021-05-22,2022-05-25,US-60530124-B2,GRANTED,G06F 17/25 (IPC) | H04L 9/55 (CPC),US,"Renewable Energy, automation, system, adaptive",https://www.lens.org/lens/patent/US-60530124-B2
Computer Vision,Method and System for Computer Vision Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Computer Vision optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_145, Dr. Taylor Scientist_145",Institute of Technology & Computer Vision Research Group,2021-07-30,2022-05-25,US-80418491-B2,GRANTED,G06F 17/92 (IPC) | H04L 9/60 (CPC),US,"Computer Vision, automation, system, adaptive",https://www.lens.org/lens/patent/US-80418491-B2
Space Technology,Method and System for Space Technology Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Space Technology optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_168, Dr. Taylor Scientist_168",Institute of Technology & Space Technology Research Group,2021-03-23,2022-05-25,US-43475088-B2,FILED,G06F 17/60 (IPC) | H04L 9/93 (CPC),US,"Space Technology, automation, system, adaptive",https://www.lens.org/lens/patent/US-43475088-B2
Data Science,Method and System for Data Science Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Data Science optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_25, Dr. Taylor Scientist_25",Institute of Technology & Data Science Research Group,2021-09-03,2022-05-25,US-14540203-B2,GRANTED,G06F 17/68 (IPC) | H04L 9/73 (CPC),US,"Data Science, automation, system, adaptive",https://www.lens.org/lens/patent/US-14540203-B2
Smart Manufacturing,Method and System for Smart Manufacturing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Smart Manufacturing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_112, Dr. Taylor Scientist_112",Institute of Technology & Smart Manufacturing Research Group,2021-09-28,2022-05-24,US-43079338-B2,FILED,G06F 17/77 (IPC) | H04L 9/59 (CPC),US,"Smart Manufacturing, automation, system, adaptive",https://www.lens.org/lens/patent/US-43079338-B2
Semiconductor Technology,Method and System for Semiconductor Technology Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Semiconductor Technology optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_97, Dr. Taylor Scientist_97",Institute of Technology & Semiconductor Technology Research Group,2021-06-08,2022-05-22,US-10511086-B2,GRANTED,G06F 17/31 (IPC) | H04L 9/42 (CPC),US,"Semiconductor Technology, automation, system, adaptive",https://www.lens.org/lens/patent/US-10511086-B2
Smart Manufacturing,Method and System for Smart Manufacturing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Smart Manufacturing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_92, Dr. Taylor Scientist_92",Institute of Technology & Smart Manufacturing Research Group,2021-11-21,2022-05-21,US-69698999-B2,GRANTED,G06F 17/31 (IPC) | H04L 9/62 (CPC),US,"Smart Manufacturing, automation, system, adaptive",https://www.lens.org/lens/patent/US-69698999-B2
Cloud Computing,Method and System for Cloud Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Cloud Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_153, Dr. Taylor Scientist_153",Institute of Technology & Cloud Computing Research Group,2021-05-07,2022-05-21,US-73891779-B2,GRANTED,G06F 17/15 (IPC) | H04L 9/43 (CPC),US,"Cloud Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-73891779-B2
Artificial Intelligence,Method and System for Artificial Intelligence Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Artificial Intelligence optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_71, Dr. Taylor Scientist_71",Institute of Technology & Artificial Intelligence Research Group,2021-09-23,2022-05-21,US-96908672-B2,GRANTED,G06F 17/11 (IPC) | H04L 9/72 (CPC),US,"Artificial Intelligence, automation, system, adaptive",https://www.lens.org/lens/patent/US-96908672-B2
Quantum Computing,Method and System for Quantum Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Quantum Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_102, Dr. Taylor Scientist_102",Institute of Technology & Quantum Computing Research Group,2021-10-26,2022-05-20,US-41372804-B2,FILED,G06F 17/26 (IPC) | H04L 9/45 (CPC),US,"Quantum Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-41372804-B2
Agriculture Technology,Method and System for Agriculture Technology Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Agriculture Technology optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_164, Dr. Taylor Scientist_164",Institute of Technology & Agriculture Technology Research Group,2021-08-02,2022-05-20,US-16281781-B2,FILED,G06F 17/40 (IPC) | H04L 9/69 (CPC),US,"Agriculture Technology, automation, system, adaptive",https://www.lens.org/lens/patent/US-16281781-B2
